ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
2512,Medical Imaging Professionals,26000,36,76,2360,36,1700,,
2513,Occupational and Environmental Health Professionals,42000,12,50,2284,42,2600,,
2514,Optometrists and Orthoptists,9700,41,76,N/A,33,200,,
2515,Pharmacists,46300,32,66,1956,38,2900,,
2519,Other Health Diagnostic and Promotion Professionals,10700,27,77,2024,45,200,,
2521,Chiropractors and Osteopaths,7700,33,40,N/A,41,-500,,
2522,Complementary Health Therapists,7500,60,72,N/A,50,-700,,
2523,Dental Practitioners,25800,40,54,3232,42,2300,,
2524,Occupational Therapists,35600,37,92,1913,33,3000,,
2525,Physiotherapists,46600,28,58,1888,33,2000,,
2526,Podiatrists,6600,25,58,N/A,43,300,,
2527,Audiologists and Speech Pathologists \ Therapists,21200,30,96,2003,33,1000,,
2531,General Practitioners and Resident Medical Officers,97300,23,51,2446,40,7000,,
2532,Anaesthetists,7400,10,32,8293,49,200,,
2533,Specialist Physicians,15900,27,49,3620,41,600,,
2534,Psychiatrists,8100,34,52,N/A,46,1100,,
2535,Surgeons,7400,7,26,3905,43,-800,,
2539,Other Medical Practitioners,23400,23,55,5013,43,1400,,
2541,Midwives,19400,57,100,2114,38,-200,,
2542,Nurse Educators and Researchers,9000,33,82,2732,41,200,,
2543,Nurse Managers,24200,26,81,2658,45,1400,,
2544,Registered Nurses,366200,44,86,2192,38,12600,,
2611,ICT Business and Systems Analysts,51000,10,38,2697,44,800,,
2612,Multimedia Specialists and Web Developers,12400,11,28,2476,37,-600,,
2613,Software and Applications Programmers,203200,6,21,2537,38,13700,,
2621,Database and Systems Administrators and ICT Security Specialists,72600,8,24,2461,41,3300,,
2631,Computer Network Professionals,48600,7,19,2309,42,2600,,
2632,ICT Support and Test Engineers,14800,4,29,2115,38,200,,
2633,Telecommunications Engineering Professionals,13700,8,20,2797,42,-300,,
2711,Barristers,8900,11,40,3495,40,0,,
2712,Judicial and Other Legal Professionals,14500,26,69,2803,44,800,,
2713,Solicitors,106100,11,57,2070,37,5400,,
2721,Counsellors,40100,51,79,2154,44,2800,,
2722,Ministers of Religion,18800,33,34,1994,49,-400,,
2723,Psychologists and Psychotherapists,54200,50,82,2204,44,4400,,
2724,Social Professionals,16000,40,76,2113,45,200,,
