ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
149913,Facilities Managers,21700,16,24,N/A,49,N/A,,
149914,Bank Managers and Branch Managers,9200,9,57,N/A,43,N/A,,
149915,Equipment Hire Managers,3200,18,22,N/A,46,N/A,,
149999,Hospitality Retail and Service Managers (not covered elsewhere),22100,24,32,N/A,46,N/A,,
211111,Actors,1500,71,49,N/A,36,N/A,,
211112,Dancers and Choreographers,980,59,72,N/A,26,N/A,,
211113,Entertainers and Variety Artists,1300,67,48,N/A,32,N/A,,
211199,Other Actors Dancers and Entertainers,2600,62,53,N/A,29,N/A,,
211211,Composers,410,37,26,N/A,41,N/A,,
211212,Music Directors,480,42,43,N/A,47,N/A,,
211213,Musicians,4900,70,29,N/A,39,N/A,,
211214,Singers,590,75,53,N/A,37,N/A,,
211299,Other Music Professionals,60,48,62,N/A,39,N/A,,
211411,Painters (Visual Arts),2800,58,66,N/A,50,N/A,,
211412,Potters and Ceramic Artists,890,55,75,N/A,49,N/A,,
211413,Sculptors,630,42,41,N/A,54,N/A,,
211499,Other Visual Arts or Crafts Professionals,2000,53,63,N/A,46,N/A,,
212111,Artistic Directors,360,27,51,N/A,45,N/A,,
212112,Media Producers,7800,21,51,N/A,40,N/A,,
212113,Radio Presenters,1600,46,28,N/A,41,N/A,,
212114,Television Presenters,430,42,40,N/A,43,N/A,,
212211,Authors,3700,52,63,N/A,48,N/A,,
212212,Book and Script Editors,1100,51,77,N/A,47,N/A,,
212311,Art Directors (Film Television or Stage),220,17,43,N/A,45,N/A,,
212312,Directors (Film Television Radio or Stage),2400,29,26,N/A,40,N/A,,
212313,Cinematographers,540,41,9,N/A,38,N/A,,
212314,Film and Video Editors,3300,33,28,N/A,33,N/A,,
212315,Program Directors (Television or Radio),1300,23,48,N/A,38,N/A,,
212316,Stage Managers,310,37,58,N/A,33,N/A,,
212317,Technical Directors,480,12,18,N/A,43,N/A,,
212318,Video Producers,1900,30,27,N/A,36,N/A,,
212399,Other Film Television Radio and Stage Directors,820,26,34,N/A,41,N/A,,
212411,Copywriters,3000,46,66,N/A,37,N/A,,
212412,Newspaper and Periodical Editors,4200,33,63,N/A,41,N/A,,
212413,Print Journalists,2800,31,51,N/A,40,N/A,,
212414,Radio Journalists,490,25,55,N/A,35,N/A,,
212415,Technical Writers,3800,31,58,N/A,45,N/A,,
212416,Television Journalists,980,14,58,N/A,34,N/A,,
212499,Bloggers Critics Sports and Other Writers (not covered elsewhere),1700,40,57,N/A,38,N/A,,
221111,Accountants (General),139100,22,54,N/A,40,N/A,,
221112,Management Accountants,6400,13,55,N/A,39,N/A,,
221113,Taxation Accountants,12500,26,51,N/A,42,N/A,,
221211,Company Secretaries,1000,28,69,N/A,50,N/A,,
221212,Corporate Treasurers,4700,7,42,N/A,40,N/A,,
221213,External Auditors,12500,14,49,N/A,35,N/A,,
221214,Internal Auditors,6000,15,57,N/A,39,N/A,,
222111,Commodities Traders,2300,14,27,N/A,40,N/A,,
222112,Finance Brokers,17100,21,30,N/A,44,N/A,,
222113,Insurance Brokers,11600,15,47,N/A,42,N/A,,
222199,Other Financial Brokers,720,24,43,N/A,41,N/A,,
222211,Financial Market Dealers,1400,17,19,N/A,38,N/A,,
222212,Futures Traders,90,15,7,N/A,50,N/A,,
222213,Stockbrokers,5400,20,19,N/A,42,N/A,,
222299,Other Financial Dealers,11600,9,39,N/A,38,N/A,,
222311,Financial Investment Advisers,24000,16,33,N/A,43,N/A,,
222312,Financial Investment Managers,9900,19,31,N/A,45,N/A,,
223111,Human Resource Advisers,33500,22,81,N/A,37,N/A,,
223112,Recruitment Consultants,33000,17,69,N/A,36,N/A,,
223113,Workplace Relations Advisers,4000,16,49,N/A,43,N/A,,
224111,Actuaries,2400,11,34,N/A,33,N/A,,
224112,Mathematicians,640,15,23,N/A,36,N/A,,
224113,Statisticians,3500,28,54,N/A,40,N/A,,
224211,Archivists,1000,46,68,N/A,50,N/A,,
224212,Gallery and Museum Curators,1300,33,72,N/A,45,N/A,,
224213,Health Information Managers,2000,29,80,N/A,44,N/A,,
224214,Records Managers,2100,21,70,N/A,47,N/A,,
224411,Intelligence Officers,3800,16,54,N/A,39,N/A,,
224412,Policy Analysts,15500,22,66,N/A,38,N/A,,
224511,Land Economists,8700,18,30,N/A,43,N/A,,
224512,Valuers,5200,16,25,N/A,41,N/A,,
224711,Management Consultants,64900,21,41,N/A,42,N/A,,
224712,Organisation and Methods Analysts,9500,16,70,N/A,43,N/A,,
224911,Electorate Officers,2600,32,60,N/A,36,N/A,,
224912,Liaison Officers,7400,28,71,N/A,41,N/A,,
224913,Migration Agents,2800,38,55,N/A,42,N/A,,
224914,Patents Examiners,460,20,36,N/A,39,N/A,,
224999,Information and Organisation Professionals (not covered elsewhere),50100,14,46,N/A,38,N/A,,
225111,Advertising Specialists,6900,15,58,N/A,34,N/A,,
225112,Market Research Analysts,2900,26,58,N/A,34,N/A,,
225113,Marketing Specialists,71700,24,62,N/A,35,N/A,,
225211,ICT Account Managers,6600,6,32,N/A,39,N/A,,
225212,ICT Business Development Managers,4600,7,21,N/A,42,N/A,,
225213,ICT Sales Representatives,8300,10,25,N/A,40,N/A,,
225411,Sales Representatives (Industrial Products),16200,9,14,N/A,47,N/A,,
225412,Sales Representatives (Medical and Pharmaceutical Products),9700,13,57,N/A,44,N/A,,
225499,Other Technical Sales Representatives,2400,13,34,N/A,43,N/A,,
231111,Aeroplane Pilots,8200,39,7,N/A,41,N/A,,
231112,Air Traffic Controllers,1600,17,17,N/A,41,N/A,,
231113,Flying Instructors,970,34,11,N/A,39,N/A,,
231114,Helicopter Pilots,1100,14,4,N/A,40,N/A,,
231199,Other Air Transport Professionals,1000,17,17,N/A,45,N/A,,
231211,Master Fishers,580,31,1,N/A,48,N/A,,
231212,Marine Engineers,1900,8,4,N/A,45,N/A,,
231213,Ship's Masters,3700,26,5,N/A,48,N/A,,
231214,Ship's Officers,550,6,10,N/A,40,N/A,,
231215,Marine Surveyors,490,22,2,N/A,51,N/A,,
231299,Other Marine Transport Professionals,470,11,21,N/A,47,N/A,,
232111,Architects,19300,19,34,N/A,40,N/A,,
232112,Landscape Architects,3800,29,48,N/A,39,N/A,,
232212,Surveyors,9700,14,5,N/A,39,N/A,,
232213,Cartographers,320,30,33,N/A,51,N/A,,
232214,Other Spatial Scientists,3600,17,36,N/A,42,N/A,,
232311,Fashion Designers,3700,34,86,N/A,37,N/A,,
232312,Industrial Designers,5000,21,39,N/A,36,N/A,,
232313,Jewellery Designers,690,48,81,N/A,42,N/A,,
232411,Graphic Designers,27500,37,59,N/A,37,N/A,,
232412,Illustrators (including Animators),3400,30,36,N/A,34,N/A,,
232413,Multimedia Designers,4600,26,50,N/A,36,N/A,,
232414,Web Designers,5300,31,46,N/A,36,N/A,,
233111,Chemical Engineers,3100,13,23,N/A,38,N/A,,
233112,Materials Engineers,680,18,22,N/A,37,N/A,,
233211,Civil Engineers,29400,11,15,N/A,34,N/A,,
233212,Geotechnical Engineers,2500,11,15,N/A,35,N/A,,
233213,Quantity Surveyors,3500,13,25,N/A,37,N/A,,
233214,Structural Engineers,9000,12,13,N/A,36,N/A,,
233215,Transport Engineers,4900,10,19,N/A,36,N/A,,
233511,Industrial Engineers,4700,11,18,N/A,39,N/A,,
233512,Mechanical Engineers,22900,10,7,N/A,38,N/A,,
233513,Production and Plant Engineers,4600,9,10,N/A,37,N/A,,
233611,Mining Engineers (excluding Petroleum),5900,11,14,N/A,38,N/A,,
233612,Petroleum Engineers,2400,10,18,N/A,39,N/A,,
233911,Aeronautical Engineers,1400,9,11,N/A,37,N/A,,
233912,Agricultural Engineers,130,20,6,N/A,45,N/A,,
233913,Biomedical Engineers,1300,12,21,N/A,37,N/A,,
233914,Engineering Technologists,370,16,14,N/A,32,N/A,,
233915,Environmental Engineers,1600,18,36,N/A,36,N/A,,
233916,Naval Architects,400,12,9,N/A,40,N/A,,
233999,Engineering Professionals (not covered elsewhere),3800,14,14,N/A,36,N/A,,
234111,Agricultural Consultants,2000,29,32,N/A,50,N/A,,
234112,Agricultural Scientists,3400,15,31,N/A,41,N/A,,
234113,Foresters,1100,18,18,N/A,46,N/A,,
234211,Chemists,3700,20,42,N/A,40,N/A,,
234212,Food Technologists,1400,20,67,N/A,36,N/A,,
234213,Wine Makers,1900,18,22,N/A,44,N/A,,
234311,Conservation Officers,5100,25,50,N/A,40,N/A,,
234312,Environmental Consultants,5100,25,45,N/A,39,N/A,,
234313,Environmental Research Scientists,5500,24,47,N/A,39,N/A,,
234314,Park Rangers,3100,19,29,N/A,42,N/A,,
234399,Other Environmental Scientists,1200,29,51,N/A,43,N/A,,
234411,Geologists,6500,17,26,N/A,40,N/A,,
234412,Geophysicists,860,21,18,N/A,43,N/A,,
234413,Hydrogeologists,1000,19,30,N/A,42,N/A,,
234511,Biologists,300,24,47,N/A,38,N/A,,
234513,Biochemists,130,25,57,N/A,35,N/A,,
234514,Biotechnologists,950,22,53,N/A,36,N/A,,
234515,Botanists,710,27,47,N/A,46,N/A,,
234516,Marine Biologists,760,26,44,N/A,41,N/A,,
234517,Microbiologists,760,22,65,N/A,37,N/A,,
234518,Zoologists,840,27,47,N/A,41,N/A,,
234599,Other Life Scientists,1300,28,66,N/A,38,N/A,,
234911,Conservators,530,41,70,N/A,48,N/A,,
234912,Metallurgists,1100,16,19,N/A,40,N/A,,
234913,Meteorologists,710,23,33,N/A,42,N/A,,
234914,Physicists (including Astronomers),1500,13,26,N/A,41,N/A,,
234915,Exercise Physiologists,5100,38,52,N/A,29,N/A,,
234999,Natural and Physical Science Professionals (not covered elsewhere),1500,36,56,N/A,36,N/A,,
241511,Special Needs Teachers,23000,39,86,N/A,45,N/A,,
241512,Teachers of the Hearing Impaired,670,52,91,N/A,49,N/A,,
241513,Teachers of the Sight Impaired,190,40,88,N/A,52,N/A,,
241599,Other Special Education Teachers,1600,42,73,N/A,48,N/A,,
242111,University Lecturers,39500,25,50,N/A,48,N/A,,
242112,University Tutors,9500,88,54,N/A,30,N/A,,
249111,Education Advisers,10900,31,74,N/A,45,N/A,,
249112,Education Reviewers,1600,36,73,N/A,54,N/A,,
249211,Art Teachers (Private Tuition),1700,77,80,N/A,46,N/A,,
249212,Dance Teachers (Private Tuition),7200,83,90,N/A,29,N/A,,
249213,Drama Teachers (Private Tuition),450,86,76,N/A,37,N/A,,
249214,Music Teachers (Private Tuition),11800,87,62,N/A,38,N/A,,
249299,Other Private Tutors and Teachers,10300,87,68,N/A,32,N/A,,
251111,Dietitians,5400,51,95,N/A,34,N/A,,
251112,Nutritionists,1200,63,88,N/A,38,N/A,,
251211,Medical Diagnostic Radiographers,10200,33,68,N/A,35,N/A,,
251212,Medical Radiation Therapists,2200,29,75,N/A,35,N/A,,
251213,Nuclear Medicine Technologists,830,30,68,N/A,34,N/A,,
251214,Sonographers,6000,49,77,N/A,39,N/A,,
251311,Environmental Health Officers,4300,25,55,N/A,43,N/A,,
251312,Occupational Health and Safety Advisers,20600,17,45,N/A,45,N/A,,
251411,Optometrists,5200,50,57,N/A,38,N/A,,
251412,Orthoptists,1100,52,89,N/A,34,N/A,,
251511,Hospital Pharmacists,5400,30,78,N/A,34,N/A,,
251512,Industrial Pharmacists,1200,13,57,N/A,38,N/A,,
251513,Retail Pharmacists,21700,37,61,N/A,36,N/A,,
251911,Health Promotion Officers,5100,46,82,N/A,44,N/A,,
251912,Orthotists and Prosthetists,550,23,52,N/A,37,N/A,,
251999,Genetic Counsellors (and Other Health Professionals not covered elsewhere),1600,40,75,N/A,37,N/A,,
252111,Chiropractors,4400,57,41,N/A,40,N/A,,
252112,Osteopaths,2300,52,55,N/A,35,N/A,,
252211,Acupuncturists,1400,65,57,N/A,49,N/A,,
252212,Homoeopaths,120,81,81,N/A,60,N/A,,
252213,Naturopaths,2400,70,87,N/A,47,N/A,,
252214,Chinese Medicine Practitioners,1100,67,58,N/A,50,N/A,,
252299,Music Dance Drama Play Hypnotic and Related Therapists,1200,72,78,N/A,45,N/A,,
252311,Dental Specialists (including Orthodontists),1400,41,32,N/A,47,N/A,,
252312,Dentists,14200,52,49,N/A,39,N/A,,
252711,Audiologists,2600,37,77,N/A,37,N/A,,
252712,Speech Pathologists,11000,44,97,N/A,33,N/A,,
253111,General Practitioners,48700,31,48,N/A,45,N/A,,
253112,Resident Medical Officers,16000,11,53,N/A,31,N/A,,
253311,Specialist Physicians (General Medicine),780,27,33,N/A,51,N/A,,
253312,Cardiologists,1100,18,19,N/A,47,N/A,,
253313,Clinical Haematologists,180,22,40,N/A,43,N/A,,
253314,Medical Oncologists,930,21,49,N/A,43,N/A,,
253315,Endocrinologists,310,45,65,N/A,43,N/A,,
253316,Gastroenterologists,570,22,31,N/A,45,N/A,,
253317,Intensive Care Specialists,1000,7,34,N/A,39,N/A,,
253318,Neurologists,570,27,38,N/A,45,N/A,,
253321,Paediatricians,2500,25,67,N/A,41,N/A,,
253322,Renal Medicine Specialists,240,26,43,N/A,41,N/A,,
253323,Rheumatologists,250,40,46,N/A,46,N/A,,
253324,Thoracic Medicine Specialists,350,23,42,N/A,44,N/A,,
253399,Other Specialist Physicians,1800,32,56,N/A,43,N/A,,
253511,Surgeons (General),730,15,27,N/A,45,N/A,,
253512,Cardiothoracic Surgeons,170,10,11,N/A,49,N/A,,
253513,Neurosurgeons,280,14,18,N/A,44,N/A,,
253514,Orthopaedic Surgeons,1500,12,10,N/A,45,N/A,,
253515,Ear Nose and Throat Specialists,360,19,23,N/A,47,N/A,,
253516,Paediatric Surgeons,130,12,37,N/A,41,N/A,,
253517,Plastic and Reconstructive Surgeons,470,19,25,N/A,45,N/A,,
253518,Urologists,410,10,14,N/A,46,N/A,,
253521,Vascular Surgeons,180,15,19,N/A,45,N/A,,
253911,Dermatologists,670,35,56,N/A,46,N/A,,
253912,Emergency Medicine Specialists,4000,20,46,N/A,38,N/A,,
253913,Obstetricians and Gynaecologists,1900,16,65,N/A,43,N/A,,
253914,Eye Specialists,1000,27,30,N/A,49,N/A,,
253915,Pathologists,2800,33,64,N/A,43,N/A,,
253917,Diagnostic and Interventional Radiologists,2800,26,34,N/A,45,N/A,,
253918,Radiation Oncologists,330,18,47,N/A,42,N/A,,
253999,Medical Practitioners (not covered elsewhere),1000,29,50,N/A,43,N/A,,
254211,Nurse Educators,5000,41,90,N/A,46,N/A,,
254212,Nurse Researchers,1300,46,93,N/A,46,N/A,,
254411,Nurse Practitioners,2500,36,83,N/A,48,N/A,,
254412,Registered Nurses (Aged Care),38400,51,88,N/A,40,N/A,,
254413,Registered Nurses (Child and Family Health),5500,62,99,N/A,47,N/A,,
254414,Registered Nurses (Community Health),16000,52,91,N/A,47,N/A,,
254415,Registered Nurses (Critical Care and Emergency),42100,48,86,N/A,36,N/A,,
254416,Registered Nurses (Developmental Disability),40,N/A,N/A,N/A,N/A,N/A,,
254417,Registered Nurses (Disability and Rehabilitation),5300,52,86,N/A,42,N/A,,
254418,Registered Nurses (Medical),25600,54,89,N/A,38,N/A,,
254421,Registered Nurses (Medical Practice),11700,61,96,N/A,45,N/A,,
254422,Registered Nurses (Mental Health),18200,37,72,N/A,44,N/A,,
254423,Registered Nurses (Perioperative),26700,50,89,N/A,41,N/A,,
254424,Registered Nurses (Surgical),19500,56,91,N/A,36,N/A,,
254425,Registered Nurses (Paediatrics),7100,55,96,N/A,35,N/A,,
254499,Registered Nurses (not covered elsewhere),32200,54,90,N/A,40,N/A,,
261111,ICT Business Analysts,20300,10,36,N/A,41,N/A,,
261112,Systems Analysts,14100,9,27,N/A,43,N/A,,
261211,Game and Multimedia Developers,1100,22,18,N/A,32,N/A,,
261212,Web Developers,9000,22,20,N/A,35,N/A,,
261311,Analyst Programmers,4500,12,25,N/A,42,N/A,,
261312,Developer Programmers,43900,13,17,N/A,38,N/A,,
261313,Software Engineers,55200,8,16,N/A,37,N/A,,
261314,Software Testers,9100,10,50,N/A,38,N/A,,
261399,Other Software and Applications Programmers,1500,5,11,N/A,36,N/A,,
262111,Database Administrators,5900,18,39,N/A,44,N/A,,
262112,ICT Security Specialists,13300,8,16,N/A,39,N/A,,
262113,Systems Administrators,14700,10,18,N/A,41,N/A,,
263111,Computer Network and Systems Engineers,14500,7,8,N/A,40,N/A,,
263112,Network Administrators,5000,12,13,N/A,42,N/A,,
263113,Network Analysts,1600,6,12,N/A,42,N/A,,
263211,ICT Quality Assurance Engineers,1000,13,43,N/A,39,N/A,,
263212,ICT Support Engineers,9700,8,18,N/A,38,N/A,,
263213,ICT Systems Test Engineers,1800,11,43,N/A,39,N/A,,
263299,Other ICT Support and Test Engineers,2900,11,48,N/A,34,N/A,,
263311,Telecommunications Engineers,2700,8,10,N/A,41,N/A,,
263312,Telecommunications Network Engineers,6300,11,24,N/A,40,N/A,,
271211,Judges,740,8,37,N/A,60,N/A,,
271212,Magistrates,540,15,45,N/A,59,N/A,,
271213,Tribunal Members,870,44,56,N/A,60,N/A,,
271214,Intellectual Property Lawyers,820,18,41,N/A,45,N/A,,
271299,Judicial and Other Legal Professionals (not covered elsewhere),10800,25,65,N/A,41,N/A,,
272111,Careers Counsellors,2300,43,78,N/A,47,N/A,,
272112,Drug and Alcohol Counsellors,2500,42,66,N/A,45,N/A,,
272113,Family and Marriage Counsellors,1900,58,83,N/A,50,N/A,,
272114,Rehabilitation Counsellors,1900,28,70,N/A,35,N/A,,
272115,Student Counsellors,4100,47,80,N/A,41,N/A,,
272199,Other Counsellors and Life Coaches,5800,55,79,N/A,42,N/A,,
272311,Clinical Psychologists,22000,49,81,N/A,43,N/A,,
272312,Educational Psychologists,4100,38,85,N/A,44,N/A,,
272313,Organisational Psychologists,610,31,73,N/A,41,N/A,,
272314,Psychotherapists,4000,65,81,N/A,46,N/A,,
272399,Other Psychologists,1400,44,81,N/A,41,N/A,,
272411,Historians,510,50,62,N/A,54,N/A,,
272412,Interpreters,3900,78,72,N/A,52,N/A,,
272413,Translators,1700,65,65,N/A,49,N/A,,
272414,Archaeologists,750,31,58,N/A,37,N/A,,
272499,Other Social Professionals,3100,44,62,N/A,40,N/A,,
272611,Community Arts Workers,580,49,74,N/A,43,N/A,,
272612,Recreation Officers,1700,43,61,N/A,37,N/A,,
272613,Welfare Workers,34300,40,79,N/A,40,N/A,,
311211,Anaesthetic Technicians,740,35,57,N/A,46,N/A,,
311212,Cardiac Technicians,1000,41,68,N/A,36,N/A,,
311213,Medical Laboratory Technicians,7600,38,73,N/A,36,N/A,,
311214,Operating Theatre Technicians,1400,30,24,N/A,47,N/A,,
311215,Pharmacy Technicians,6900,48,88,N/A,37,N/A,,
311216,Pathology Collectors,12000,57,90,N/A,44,N/A,,
311299,Other Medical Technicians,2700,44,60,N/A,42,N/A,,
311311,Fisheries Officers,410,10,26,N/A,41,N/A,,
311312,Meat Inspectors,490,13,15,N/A,45,N/A,,
311313,Quarantine Officers,1100,27,45,N/A,48,N/A,,
311399,Other Primary Products Inspectors,410,24,48,N/A,39,N/A,,
311411,Chemistry Technicians,4200,22,56,N/A,39,N/A,,
311412,Earth Science Technicians,2200,15,21,N/A,35,N/A,,
311413,Life Science Technicians,2500,30,67,N/A,35,N/A,,
311414,School Laboratory Technicians,2900,52,81,N/A,51,N/A,,
311415,Hydrographers,680,12,23,N/A,40,N/A,,
311499,Other Science Technicians,1500,33,36,N/A,43,N/A,,
312111,Architectural Draftspersons,14000,25,30,N/A,40,N/A,,
312112,Building Associates,38700,7,6,N/A,42,N/A,,
312113,Building Inspectors,6300,17,12,N/A,47,N/A,,
312114,Construction Estimators,7000,13,17,N/A,40,N/A,,
312115,Plumbing Inspectors,350,8,5,N/A,52,N/A,,
312116,Surveying and Spatial Science Technicians,1200,21,23,N/A,39,N/A,,
312199,Other Architectural Building and Surveying Technicians,1600,25,43,N/A,41,N/A,,
312211,Civil Engineering Draftspersons,6800,14,18,N/A,40,N/A,,
312212,Civil Engineering Technicians,3500,13,14,N/A,39,N/A,,
312311,Electrical Engineering Draftspersons,2200,16,17,N/A,44,N/A,,
312312,Electrical Engineering Technicians,6800,15,6,N/A,43,N/A,,
312411,Electronic Engineering Draftspersons,140,30,11,N/A,49,N/A,,
312412,Electronic Engineering Technicians,3600,15,9,N/A,43,N/A,,
312511,Mechanical Engineering Draftspersons,3000,12,9,N/A,43,N/A,,
312512,Mechanical Engineering Technicians,1200,10,4,N/A,42,N/A,,
312911,Maintenance Planners,8300,6,17,N/A,45,N/A,,
312912,Metallurgical and Materials Technicians,4100,14,28,N/A,38,N/A,,
312913,Mine Deputies,7400,5,7,N/A,45,N/A,,
312999,Building and Engineering Technicians (not covered elsewhere),5600,10,9,N/A,46,N/A,,
313111,Hardware Technicians,1500,30,8,N/A,38,N/A,,
313112,ICT Customer Support Officers,46200,17,21,N/A,38,N/A,,
313113,Web Administrators,2700,28,55,N/A,37,N/A,,
313199,Other ICT Support Technicians,840,14,21,N/A,37,N/A,,
313211,Radiocommunications Technicians,720,14,3,N/A,45,N/A,,
313212,Telecommunications Field Engineers,850,9,5,N/A,43,N/A,,
313213,Telecommunications Network Planners,930,7,20,N/A,42,N/A,,
313214,Telecommunications Technical Officers and Technologists,700,10,11,N/A,47,N/A,,
321211,Motor Mechanics (General),79300,15,2,N/A,36,N/A,,
321212,Diesel Motor Mechanics,7400,7,1,N/A,32,N/A,,
321213,Motorcycle Mechanics,2000,18,2,N/A,36,N/A,,
321214,Small Engine Mechanics,1800,22,2,N/A,43,N/A,,
322111,Blacksmiths,240,29,2,N/A,51,N/A,,
322112,Electroplaters,470,10,2,N/A,46,N/A,,
322113,Farriers,1000,34,8,N/A,42,N/A,,
322114,Metal Casting Trades Workers,170,11,3,N/A,52,N/A,,
322115,Metal Polishers,350,18,4,N/A,47,N/A,,
322311,Metal Fabricators,42600,9,1,N/A,38,N/A,,
322312,Pressure Welders,120,12,0,N/A,45,N/A,,
322313,Welders (First Class),19900,13,1,N/A,42,N/A,,
323111,Aircraft Maintenance Engineers (Avionics),2300,7,8,N/A,35,N/A,,
323112,Aircraft Maintenance Engineers (Mechanical),1800,6,9,N/A,33,N/A,,
323113,Aircraft Maintenance Engineers (Structures),250,11,5,N/A,42,N/A,,
323211,Fitters (General),68500,7,2,N/A,39,N/A,,
323212,Fitter and Turners,9000,8,1,N/A,40,N/A,,
323213,Fitter-Welders,820,11,0,N/A,48,N/A,,
323214,Metal Machinists (First Class),2400,11,1,N/A,45,N/A,,
323215,Textile Clothing and Footwear Mechanics,250,38,9,N/A,57,N/A,,
323299,Other Metal Fitters and Machinists,3800,9,1,N/A,36,N/A,,
323311,Engravers,460,43,37,N/A,50,N/A,,
323312,Gunsmiths,170,25,3,N/A,52,N/A,,
323313,Locksmiths,2700,24,4,N/A,38,N/A,,
323314,Precision Instrument Makers and Repairers,1700,18,7,N/A,47,N/A,,
323315,Saw Doctors,290,15,1,N/A,49,N/A,,
323316,Watch and Clock Makers and Repairers,520,38,9,N/A,55,N/A,,
323411,Engineering Patternmakers,170,22,16,N/A,54,N/A,,
323412,Toolmakers,2000,13,1,N/A,53,N/A,,
324211,Vehicle Body Builders,3900,11,3,N/A,42,N/A,,
324212,Vehicle Trimmers,1300,24,9,N/A,48,N/A,,
331111,Bricklayers,16700,25,1,N/A,38,N/A,,
331112,Stonemasons,4800,21,1,N/A,38,N/A,,
331212,Carpenters,104900,16,1,N/A,31,N/A,,
331213,Joiners,4300,17,2,N/A,36,N/A,,
333211,Fibrous Plasterers,18200,25,1,N/A,37,N/A,,
333212,Solid Plasterers,4600,32,1,N/A,39,N/A,,
334111,Plumbers (General),53400,15,1,N/A,32,N/A,,
334112,Airconditioning and Mechanical Services Plumbers,3900,7,1,N/A,32,N/A,,
334113,Drainers,4800,13,1,N/A,32,N/A,,
334114,Gasfitters,7600,15,1,N/A,39,N/A,,
334115,Roof Plumbers,10500,16,1,N/A,31,N/A,,
341111,Electricians (General),128300,14,2,N/A,34,N/A,,
341112,Electricians (Special Class),60,8,0,N/A,46,N/A,,
341113,Lift Mechanics,3500,11,2,N/A,38,N/A,,
342211,Electrical Linesworkers,6300,7,2,N/A,40,N/A,,
342212,Technical Cable Jointers,580,6,2,N/A,38,N/A,,
342311,Business Machine Mechanics,2000,16,3,N/A,48,N/A,,
342312,Communications Operators,1200,9,29,N/A,29,N/A,,
342313,Electronic Equipment Trades Workers,15000,27,5,N/A,40,N/A,,
342314,Electronic Instrument Trades Workers (General),1400,9,8,N/A,34,N/A,,
342315,Electronic Instrument Trades Workers (Special Class),180,12,3,N/A,53,N/A,,
342411,Cablers (Data and Telecommunications),1400,37,3,N/A,45,N/A,,
342412,Telecommunications Cable Jointers,610,20,3,N/A,37,N/A,,
342413,Telecommunications Linesworkers,1300,28,3,N/A,41,N/A,,
342414,Telecommunications Technicians,10100,23,6,N/A,40,N/A,,
351111,Bakers,18700,34,28,N/A,36,N/A,,
351112,Pastrycooks,6800,44,63,N/A,36,N/A,,
361111,Dog Handlers and Trainers,1800,49,64,N/A,40,N/A,,
361112,Horse Trainers,3000,19,42,N/A,43,N/A,,
361113,Pet Groomers,5700,65,87,N/A,38,N/A,,
361114,Zookeepers,1500,37,64,N/A,31,N/A,,
361115,Kennel Hands,1500,76,80,N/A,26,N/A,,
361199,Other Animal Attendants and Trainers,4900,62,75,N/A,31,N/A,,
362211,Gardeners (General),32600,55,16,N/A,48,N/A,,
362212,Arborists,7000,20,3,N/A,36,N/A,,
362213,Landscape Gardeners,25100,28,5,N/A,34,N/A,,
392111,Print Finishers,1400,25,29,N/A,51,N/A,,
392112,Screen Printers,1100,32,24,N/A,45,N/A,,
392311,Printing Machinists,3400,15,12,N/A,48,N/A,,
392312,Small Offset Printers,270,22,20,N/A,51,N/A,,
393111,Canvas Goods Fabricators,370,32,41,N/A,51,N/A,,
393112,Leather Goods Makers,480,41,37,N/A,50,N/A,,
393113,Sail Makers,200,27,13,N/A,50,N/A,,
393114,Shoemakers,720,33,15,N/A,51,N/A,,
393211,Apparel Cutters,360,42,45,N/A,56,N/A,,
393212,Clothing Patternmakers,340,53,87,N/A,52,N/A,,
393213,Dressmakers and Tailors,5200,58,85,N/A,50,N/A,,
393299,Other Clothing Trades Workers,170,41,59,N/A,49,N/A,,
394211,Furniture Finishers,570,26,11,N/A,45,N/A,,
394212,Picture Framers,1600,49,35,N/A,51,N/A,,
394213,Wood Machinists,940,12,2,N/A,45,N/A,,
394214,Wood Turners,80,38,7,N/A,52,N/A,,
394299,Other Wood Machinists and Wood Trades Workers,150,36,15,N/A,43,N/A,,
399111,Boat Builders and Repairers,2600,16,2,N/A,40,N/A,,
399112,Shipwrights,830,16,2,N/A,40,N/A,,
399211,Chemical Plant Operators,1800,7,7,N/A,47,N/A,,
399212,Gas and Petroleum Operators,3800,7,8,N/A,45,N/A,,
399213,Power Generation Plant Operators,2100,6,3,N/A,49,N/A,,
399311,Gallery and Museum Technicians,270,49,36,N/A,42,N/A,,
399312,Library Technicians,6200,59,87,N/A,52,N/A,,
399511,Broadcast Transmitter Operators,430,20,23,N/A,37,N/A,,
399512,Camera Operators (Film Television or Video),2900,45,12,N/A,33,N/A,,
399513,Light Technicians,920,45,17,N/A,34,N/A,,
399514,Make Up Artists,2000,78,96,N/A,31,N/A,,
399515,Musical Instrument Makers and Repairers,830,51,10,N/A,50,N/A,,
399516,Sound Technicians,3200,44,9,N/A,37,N/A,,
399517,Television Equipment Operators,90,43,26,N/A,32,N/A,,
399599,Other Performing Arts Technicians,1600,30,28,N/A,36,N/A,,
399911,Divers,910,26,7,N/A,35,N/A,,
399912,Interior Decorators,1900,59,90,N/A,43,N/A,,
399913,Optical Dispensers,6200,66,79,N/A,35,N/A,,
399914,Optical Mechanics,400,30,33,N/A,48,N/A,,
