ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,,
2346,Medical Laboratory Scientists,"33,300",25,66,"2,056",39,"1,700",,
2347,Veterinarians,"14,500",27,63,"2,413",37,100,,
2349,Other Natural and Physical Science Professionals,"14,600",22,45,"1,848",38,200,,
2411,Early Childhood (Pre-primary School) Teachers,"71,900",43,95,"1,906",37,"2,700",,
2412,Primary School Teachers,"165,900",37,82,"2,226",41,"1,600",,
2413,Middle School Teachers,"1,000",N/A,N/A,"2,424",40,-200,,
2414,Secondary School Teachers,"161,400",23,58,"2,322",40,"6,400",,
2415,Special Education Teachers,"34,000",36,85,"2,160",42,"2,700",,
2421,University Lecturers and Tutors,"65,200",34,48,"2,924",47,"1,300",,
2422,Vocational Education Teachers,"39,400",28,43,"2,128",49,"1,800",,
2491,Education Advisers and Reviewers,"25,300",28,71,"2,524",42,0,,
2492,Private Tutors and Teachers,"50,800",77,71,"2,518",34,"2,600",,
2493,Teachers of English to Speakers of Other Languages,"4,000",83,79,"2,366",46,300,,
2511,Nutrition Professionals,"8,900",47,97,"1,667",35,-600,,
2512,Medical Imaging Professionals,"26,000",36,76,"2,360",36,"1,700",,
2513,Occupational and Environmental Health Professionals,"42,000",12,50,"2,284",42,"2,600",,
2514,Optometrists and Orthoptists,"9,700",41,76,N/A,33,200,,
2515,Pharmacists,"46,300",32,66,"1,956",38,"2,900",,
2519,Other Health Diagnostic and Promotion Professionals,"10,700",27,77,"2,024",45,200,,
2521,Chiropractors and Osteopaths,"7,700",33,40,N/A,41,-500,,
2522,Complementary Health Therapists,"7,500",60,72,N/A,50,-700,,
2523,Dental Practitioners,"25,800",40,54,"3,232",42,"2,300",,
2524,Occupational Therapists,"35,600",37,92,"1,913",33,"3,000",,
2525,Physiotherapists,"46,600",28,58,"1,888",33,"2,000",,
2526,Podiatrists,"6,600",25,58,N/A,43,300,,
2527,Audiologists and Speech Pathologists \ Therapists,"21,200",30,96,"2,003",33,"1,000",,
2531,General Practitioners and Resident Medical Officers,"97,300",23,51,"2,446",40,"7,000",,
2532,Anaesthetists,"7,400",10,32,"8,293",49,200,,
2533,Specialist Physicians,"15,900",27,49,"3,620",41,600,,
2534,Psychiatrists,"8,100",34,52,N/A,46,"1,100",,
2535,Surgeons,"7,400",7,26,"3,905",43,-800,,
2539,Other Medical Practitioners,"23,400",23,55,"5,013",43,"1,400",,
2541,Midwives,"19,400",57,100,"2,114",38,-200,,
2542,Nurse Educators and Researchers,"9,000",33,82,"2,732",41,200,,
2543,Nurse Managers,"24,200",26,81,"2,658",45,"1,400",,
2544,Registered Nurses,"366,200",44,86,"2,192",38,"12,600",,
2611,ICT Business and Systems Analysts,"51,000",10,38,"2,697",44,800,,
2612,Multimedia Specialists and Web Developers,"12,400",11,28,"2,476",37,-600,,
2613,Software and Applications Programmers,"203,200",6,21,"2,537",38,"13,700",,
2621,"Database and Systems Administrators, and ICT Security Specialists","72,600",8,24,"2,461",41,"3,300",,
2631,Computer Network Professionals,"48,600",7,19,"2,309",42,"2,600",,
2632,ICT Support and Test Engineers,"14,800",4,29,"2,115",38,200,,
2633,Telecommunications Engineering Professionals,"13,700",8,20,"2,797",42,-300,,
2711,Barristers,"8,900",11,40,"3,495",40,0,,
2712,Judicial and Other Legal Professionals,"14,500",26,69,"2,803",44,800,,
2713,Solicitors,"106,100",11,57,"2,070",37,"5,400",,
2721,Counsellors,"40,100",51,79,"2,154",44,"2,800",,
2722,Ministers of Religion,"18,800",33,34,"1,994",49,-400,,
2723,Psychologists and Psychotherapists,"54,200",50,82,"2,204",44,"4,400",,
2724,Social Professionals,"16,000",40,76,"2,113",45,200,,
2725,Social Workers,"47,400",32,84,"2,172",38,"1,700",,
2726,"Welfare, Recreation and Community Arts Workers","42,600",44,68,"1,960",39,"1,300",,
3111,Agricultural Technicians,"2,800",19,32,"1,808",33,200,,
3112,Medical Technicians,"39,200",41,70,"1,539",42,"1,100",,
3113,Primary Products Inspectors,"4,400",14,48,"1,330",46,0,,
3114,Science Technicians,"23,500",26,49,"1,794",44,"1,100",,
3121,"Architectural, Building and Surveying Technicians","79,200",10,15,"2,280",42,-300,,
3122,Civil Engineering Draftspersons and Technicians,"13,600",8,22,"1,730",39,-400,,
3123,"Electrical Engineering Draftspersons, Technicians","10,500",11,15,"2,854",41,0,,
3124,"Electronic Engineering Draftspersons, Technicians","7,900",13,11,"2,142",42,800,,
3125,"Mechanical Engineering Draftspersons, Technicians","5,400",6,7,"2,589",44,-300,,
3126,Safety Inspectors,"6,600",8,17,"2,382",49,-200,,
3129,Other Building and Engineering Technicians,"42,300",9,17,"2,954",43,"2,400",,
3131,ICT Support Technicians,"77,900",11,24,"1,687",36,"2,300",,
3132,Telecommunications Technical Specialists,"4,000",8,10,"2,286",43,100,,
3211,Automotive Electricians,"10,400",14,6,"2,808",35,-200,,
